1  core   0: >>>>  
1  core   0: 0x00000000 (0xf14020f3) csrr    ra, mhartid
2  core   0: >>>>  reg_tp
2  core   0: 0x00000004 (0x80002217) auipc   tp, 0x80002
3  core   0: >>>>  reg_s0
3  core   0: 0x00000008 (0xffb20213) addi    tp, tp, -5
4  core   0: >>>>  reg_a2
4  core   0: 0x0000000c (0xff027113) andi    sp, tp, -16
5  core   0: >>>>  reg_a6
5  core   0: 0x00000010 (0x80000197) auipc   gp, 0x80000
6  core   0: >>>>  reg_s4
6  core   0: 0x00000014 (0x7f018193) addi    gp, gp, 2032
7  core   0: >>>>  reg_s8
7  core   0: 0x00000018 (0x000022b7) lui     t0, 0x2
8  core   0: >>>>  reg_t3
8  core   0: 0x0000001c (0x80028293) addi    t0, t0, -2048
9  core   0: 0x00000020 (0x30029073) csrw    mstatus, t0
10  core   0: 0x00000024 (0x00000317) auipc   t1, 0x0
11  core   0: 0x00000028 (0x18030313) addi    t1, t1, 384
12  core   0: 0x0000002c (0x30531073) csrw    mtvec, t1
13  core   0: 0x00000030 (0x30401073) csrw    mie, zero
14  core   0: 0x00000034 (0x00001397) auipc   t2, 0x1
15  core   0: 0x00000038 (0xe1038393) addi    t2, t2, -496
16  core   0: 0x0000003c (0x80000417) auipc   s0, 0x80000
17  core   0: 0x00000040 (0xfc440413) addi    s0, s0, -60
18  core   0: 0x00000044 (0x80000497) auipc   s1, 0x80000
19  core   0: 0x00000048 (0xfbc48493) addi    s1, s1, -68
20  core   0: 0x0000004c (0x80000517) auipc   a0, 0x80000
21  core   0: 0x00000050 (0xfb450513) addi    a0, a0, -76
22  core   0: 0x00000054 (0x80000597) auipc   a1, 0x80000
23  core   0: 0x00000058 (0x0ac58593) addi    a1, a1, 172
24  core   0: 0x0000005c (0x00000613) li      a2, 0
25  core   0: 0x00000060 (0x00000693) li      a3, 0
26  core   0: 0x00000064 (0x00000713) li      a4, 0
27  core   0: 0x00000068 (0x00000793) li      a5, 0
28  core   0: 0x0000006c (0x00000813) li      a6, 0
29  core   0: 0x00000070 (0x00000893) li      a7, 0
30  core   0: 0x00000074 (0x00000913) li      s2, 0
31  core   0: 0x00000078 (0x00000993) li      s3, 0
32  core   0: 0x0000007c (0x00000a13) li      s4, 0
33  core   0: 0x00000080 (0x00000a93) li      s5, 0
34  core   0: 0x00000084 (0x00000b13) li      s6, 0
35  core   0: 0x00000088 (0x00000b93) li      s7, 0
36  core   0: 0x0000008c (0x00000c13) li      s8, 0
37  core   0: 0x00000090 (0x00000c93) li      s9, 0
38  core   0: 0x00000094 (0x00000d13) li      s10, 0
39  core   0: 0x00000098 (0x00000d93) li      s11, 0
40  core   0: 0x0000009c (0x00000e13) li      t3, 0
41  core   0: 0x000000a0 (0x00000e93) li      t4, 0
42  core   0: 0x000000a4 (0x00000f13) li      t5, 0
43  core   0: 0x000000a8 (0x00000f93) li      t6, 0
44  core   0: >>>>  __crt0_smp_check
44  core   0: 0x000000ac (0x02008a63) beqz    ra, pc + 52
45  core   0: >>>>  __crt0_smp_primary
45  core   0: 0x000000e0 (0x00838e63) beq     t2, s0, pc + 28
46  core   0: >>>>  __crt0_data_copy
46  core   0: 0x000000e4 (0x00945c63) bge     s0, s1, pc + 24
47  core   0: >>>>  __crt0_bss_clear
47  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
48  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
49  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
50  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
51  core   0: >>>>  __crt0_bss_clear
51  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
52  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
53  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
54  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
55  core   0: >>>>  __crt0_bss_clear
55  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
56  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
57  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
58  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
59  core   0: >>>>  __crt0_bss_clear
59  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
60  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
61  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
62  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
63  core   0: >>>>  __crt0_bss_clear
63  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
64  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
65  core   0: 0x00000104 (0x00450513) addi    a0, a0, 4
66  core   0: 0x00000108 (0xff5ff06f) j       pc - 0xc
67  core   0: >>>>  __crt0_bss_clear
67  core   0: 0x000000fc (0x00b55863) bge     a0, a1, pc + 16
68  core   0: 0x00000100 (0x00052023) sw      zero, 0(a0)
